r_arcsec,x_over_rc,kappa_glafic_raw,kappa_glafic_denoised,kappa_shape_dimless,kappa_glafic_norm,kappa_shape_norm
8.875715871146520886e-02,8.875715871146520886e-02,1.303066724329696668e-04,1.303066724329696668e-04,8.025586674808825594e-01,9.913230375233207381e-01,9.913230375733952382e-01
9.266934984646048312e-02,9.266934984646048312e-02,1.302047963781271557e-04,1.302047963781271557e-04,8.019312129533443523e-01,9.905480036877408745e-01,9.905480037305351981e-01
9.675398047477584695e-02,9.675398047477584695e-02,1.300939092677678120e-04,1.300939092677678120e-04,8.012482593393155383e-01,9.897044172081601587e-01,9.897044172382156724e-01
1.010186512932664954e-01,1.010186512932664954e-01,1.299732303501310296e-04,1.299732303501310296e-04,8.005049979874883093e-01,9.887863384255233257e-01,9.887863384349339091e-01
1.054712980182865578e-01,1.054712980182865578e-01,1.298419142551169854e-04,1.298419142551169854e-04,7.996962222614477644e-01,9.877873360893076882e-01,9.877873360667073221e-01
1.101202061525020925e-01,1.101202061525020925e-01,1.296990462113238769e-04,1.296990462113238769e-04,7.988162980810736835e-01,9.867004509705824544e-01,9.867004508997192502e-01
1.149740264025865127e-01,1.149740264025865127e-01,1.295436370165510293e-04,1.295436370165510293e-04,7.978591329454063352e-01,9.855181575995309862e-01,9.855181574572630110e-01
1.200417907764906450e-01,1.200417907764906450e-01,1.293746177710832835e-04,1.293746177710832835e-04,7.968181434942943620e-01,9.842323241983045312e-01,9.842323239517856148e-01
1.253329293902381569e-01,1.253329293902381569e-01,1.291908343889584809e-04,1.291908343889584809e-04,7.956862217023777939e-01,9.828341709248565872e-01,9.828341705275874807e-01
1.308572880155231266e-01,1.308572880155231266e-01,1.289910419095406560e-04,1.289910419095406560e-04,7.944556998427864114e-01,9.813142265975798306e-01,9.813142259838701920e-01
1.366251464007615379e-01,1.366251464007615379e-01,1.287738986402596941e-04,1.287738986402596941e-04,7.931183144104779759e-01,9.796622841355230316e-01,9.796622832127281910e-01
1.426472373996866549e-01,1.426472373996866549e-01,1.285379601715306826e-04,1.285379601715306826e-04,7.916651692576200938e-01,9.778673550261993697e-01,9.778673536638545771e-01
1.489347669430872156e-01,1.489347669430872156e-01,1.282816733168322756e-04,1.282816733168322756e-04,7.900866982670240457e-01,9.759176232240338589e-01,9.759176212386465599e-01
